,AirwayEpithelial,AT1,AT2,BronchoFibroblast,AlveolarFibroblast,MyoFB,Pericyte,SMC,Artery,Vein,Capillary,AlveolarMac,InterstitialMac,InflamMac,PatrolMac,mucosalDC,perivascularDC,pDC,Neutrophil,Tcell,Bcell
10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0.023809523809523808,0.095238095,0.011904761904761904,0.023809523809523808,0.017857142857142856,0.10119047619047619,0.023809523809523808,0.2261904761904762,0.1130952380952381,0.035714286,0.035714286,0.047619047619047616,0.071428571,0.011904761904761904,0.017857142857142856,0.06547619,0.017857142857142856,0.017857142857142856,0,0.041666666666666664
2,0,0,0,0,0.2,0,0.2,0,0.4,0,0,0,0,0,0.2,0,0,0,0,0,0
3,0,0,0.2,0,0.3,0,0.2,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0.2222222222222222,0.2222222222222222,0,0,0,0.3333333333333333,0,0,0,0.2222222222222222,0,0,0,0,0,0
6,0,0,0.2702702702702703,0.054054054,0,0,0.054054054,0,0.13513513513513514,0.13513513513513514,0.054054054,0.081081081,0.054054054,0.054054054,0,0,0.054054054,0,0,0,0.054054054
7,0,0,0.2857142857142857,0,0,0.2857142857142857,0,0,0,0,0,0,0.42857142857142855,0,0,0,0,0,0,0,0
8,0,0.058823529411764705,0.14705882352941177,0,0,0,0.11764705882352941,0.058823529411764705,0.20588235294117646,0.17647058823529413,0,0.058823529411764705,0.058823529411764705,0,0,0.058823529411764705,0,0,0,0,0.058823529411764705
9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6,0.1666666666666666,0,0.033333333,0,0.1,0.1,0.1,0.033333333,0.1,0,0,0.033333333,0.033333333,0.1666666666666666,0,0,0,0,0,0.066666667,0.066666667
7,0,0.1,0.1,0,0.1,0,0.2,0,0.3,0,0,0,0,0,0.1,0,0,0,0,0,0.1
8,0.4090909090909091,0,0,0,0.022727273,0.090909091,0.022727273,0.022727273,0.022727273,0.022727273,0.022727273,0,0,0.1136363636363636,0,0,0,0.022727273,0.022727273,0.1136363636363636,0.090909091
9,0,0.076923077,0.1538461538461538,0,0,0,0.2307692307692307,0,0.1538461538461538,0.076923077,0.2307692307692307,0,0,0,0,0,0,0,0,0,0.076923077
0,0.066666667,0.066666667,0,0,0.066666667,0.1333333333333333,0.1333333333333333,0,0.1333333333333333,0,0.1333333333333333,0,0,0.1333333333333333,0.066666667,0,0,0,0,0,0.066666667
1,0.7777777777777778,0,0,0.055555556,0,0.018518519,0,0.018518519,0.018518519,0.018518519,0,0,0.037037037,0,0.018518519,0,0,0,0,0.037037037,0
2,0.047619048,0.047619048,0,0.095238095,0,0,0.1428571428571428,0,0.238095238,0,0.1904761904761904,0,0.047619048,0.047619048,0.047619048,0,0,0,0,0.047619048,0.047619048
3,0.125,0,0,0,0,0,0,0.125,0,0.125,0.375,0,0.125,0,0,0,0,0,0,0.125,0
4,0.5454545454545454,0,0,0,0,0,0,0,0.090909091,0.090909091,0.2727272727272727,0,0,0,0,0,0,0,0,0,0
5,0.078947368,0.078947368,0,0.026315789,0,0.1052631578947368,0.1578947368421052,0,0.131578947,0.078947368,0.1052631578947368,0.052631579,0.052631579,0.026315789,0,0,0.026315789,0,0,0.052631579,0.026315789
6,0.320754717,0,0,0.018867925,0.018867925,0.037735849,0.075471698,0.075471698,0,0.037735849,0.018867925,0,0.018867925,0,0.037735849,0.075471698,0.018867925,0,0.037735849,0.1886792452830188,0.018867925
7,0,0.055555556,0.055555556,0.055555556,0,0.1111111111111111,0.1666666666666666,0,0.2222222222222222,0.055555556,0.055555556,0,0,0,0.055555556,0,0,0.055555556,0,0,0.1111111111111111
0,0.037037037,0.037037037,0.074074074,0.018518519,0.018518519,0.055555556,0.1481481481481481,0,0.2962962962962963,0.074074074,0.037037037,0.018518519,0,0.055555556,0.018518519,0.018518519,0.037037037,0.018518519,0,0,0.037037037
1,0.035714286,0.035714286,0.1428571428571428,0.017857143,0.017857143,0.1071428571428571,0.1428571428571428,0.035714286,0.035714286,0.035714286,0.017857143,0.035714286,0.017857143,0.2321428571428571,0,0,0,0,0.017857143,0.071428571,0
2,0,0.021276596,0.1489361702127659,0.063829787,0.063829787,0.063829787,0.1914893617021276,0,0.1702127659574468,0,0,0.063829787,0.021276596,0.042553191,0.042553191,0.021276596,0,0.021276596,0,0.042553191,0.021276596
3,0.5964912280701754,0,0.01754386,0,0,0.01754386,0.052631579,0.052631579,0,0.087719298,0.052631579,0.035087719,0.01754386,0.01754386,0,0,0.01754386,0,0,0.035087719,0
0,0,0.065217391,0.1630434782608695,0.010869565,0.02173913,0.054347826,0.1630434782608695,0.010869565,0.1847826086956521,0.065217391,0.010869565,0.010869565,0.02173913,0.032608696,0.032608696,0,0.032608696,0,0.043478261,0.010869565,0.065217391
1,0,0,0,0,0.1428571428571428,0,0,0,0.4285714285714285,0,0.1428571428571428,0,0,0,0,0.1428571428571428,0,0,0,0,0.1428571428571428
2,0.1333333333333333,0,0.066666667,0,0.2,0.066666667,0,0,0.1333333333333333,0,0.066666667,0,0,0,0.066666667,0,0.066666667,0,0,0.1333333333333333,0.066666667
3,0,0.055555556,0.1111111111111111,0,0,0.3333333333333333,0.1111111111111111,0,0.1666666666666666,0.055555556,0.055555556,0,0,0,0,0.055555556,0,0,0,0,0.055555556
4,0.044776119,0.074626866,0.044776119,0.014925373,0.044776119,0.029850746,0.1492537313432835,0.014925373,0.1641791044776119,0.1044776119402985,0.059701493,0.089552239,0.044776119,0.014925373,0.014925373,0.014925373,0.029850746,0,0.014925373,0,0.029850746
5,0.5263157894736842,0,0.052631579,0.052631579,0,0,0,0.1578947368421052,0.052631579,0.052631579,0,0,0,0,0,0,0,0,0,0.1052631578947368,0
6,0,0.086538462,0.1153846153846153,0.019230769,0.038461538,0.086538462,0.1538461538461538,0.048076923,0.1442307692307692,0.028846154,0.019230769,0.076923077,0.019230769,0.019230769,0.038461538,0.019230769,0.019230769,0.009615385,0.019230769,0,0.038461538
0,0.010638298,0.063829787,0.1276595744680851,0.021276596,0.021276596,0.053191489,0.1382978723404255,0.021276596,0.042553191,0.085106383,0.021276596,0.063829787,0.042553191,0.095744681,0.031914894,0.042553191,0.053191489,0,0.010638298,0.031914894,0.021276596
1,0,0.028985507,0.094202899,0.007246377,0.036231884,0.050724638,0.1159420289855072,0.036231884,0.1304347826086956,0.065217391,0.028985507,0.072463768,0.072463768,0.072463768,0.036231884,0.036231884,0.050724638,0.028985507,0.014492754,0.007246377,0.014492754
2,0,0.047619048,0.2857142857142857,0.047619048,0.047619048,0,0.1904761904761904,0,0.1428571428571428,0.047619048,0,0,0.047619048,0.047619048,0,0,0,0.047619048,0,0,0.047619048
3,0,0.1,0,0,0,0,0,0,0.1,0.1,0.1,0,0.1,0.2,0.1,0,0,0,0,0.1,0.1
4,0.010989011,0.021978022,0.076923077,0.021978022,0.021978022,0.054945055,0.1098901098901098,0.032967033,0.1428571428571428,0.087912088,0.065934066,0.043956044,0.032967033,0.054945055,0.043956044,0.032967033,0.010989011,0.021978022,0,0.065934066,0.043956044
5,0.3157894736842105,0.052631579,0,0.052631579,0.1578947368421052,0.052631579,0,0.1052631578947368,0.052631579,0.052631579,0,0,0.052631579,0,0,0,0,0,0.052631579,0,0.052631579
6,0,0,0,0.2222222222222222,0,0.1111111111111111,0.1111111111111111,0.055555556,0.1111111111111111,0.055555556,0.055555556,0,0.1111111111111111,0.055555556,0,0,0,0,0.055555556,0,0.055555556
0,0.029126214,0.048543689,0.116504854,0.009708738,0.019417476,0.009708738,0.1359223300970873,0.116504854,0.058252427,0.038834951,0.019417476,0.019417476,0.077669903,0.038834951,0.029126214,0.067961165,0.038834951,0.038834951,0.009708738,0.029126214,0.048543689
1,0,0.044776119,0.044776119,0.044776119,0.029850746,0.029850746,0.1194029850746268,0.014925373,0.1940298507462686,0.1044776119402985,0,0.059701493,0.089552239,0.029850746,0.029850746,0.044776119,0.029850746,0.014925373,0.014925373,0.014925373,0.044776119
